iter	Passed	Remaining
0	1	118
1	2	121
2	3	112
3	4	104
4	5	103
5	6	102
6	7	100
7	8	98
8	9	97
9	10	95
10	11	95
11	13	96
12	14	95
13	15	94
14	16	92
15	18	95
16	19	94
17	21	96
18	23	99
19	24	99
20	26	98
21	27	97
22	28	96
23	29	94
24	30	92
25	32	91
26	33	89
27	34	87
28	35	86
29	36	84
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	49	68
42	51	67
43	53	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	58
52	63	56
53	65	55
54	65	53
55	67	53
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	74	43
63	77	43
64	78	42
65	81	41
66	83	40
67	84	39
68	85	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	107	16
87	109	14
88	111	13
89	113	12
90	114	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	124	1
99	125	0
